a
abjure
accord
admire
advise
affection
again
air
all
altar
am
an
ancient
another
any
appear
appoint
are
arm
arrow
art
as
at
aught
aunt
austerity
avouch
away
back
barren
base
bate
be
beauteous
beauty
befall
before
beg
beguile
behold
being
beloved
beseech
best
betwixt
bewitch
bladed
blessedness
blood
boast
bold
bond
bosom
both
bow
boy
bracelet
break
bright
bring
bud
burn
business
but
by
can
case
catch
certain
chance
cheek
cheer
child
choice
choose
cloister
cold
colly
come
companion
company
complaint
compose
conceal
conceit
concern
confer
confess
confusion
consent
counsel
course
craze
cross
cunning
curse
customary
d
darkness
daughter
day
days
dear
death
deep
derive
desire
devise
devour
die
different
disfigure
disobedience
dispose
dissolve
distill
do
dote
dove
dowager
down
dream
due
duke
duty
dwell
ear
earth
earthly
edict
either
employ
endure
engage
enrich
enthrall
entreat
er
err
estate
ever
everlasting
every
examine
eye
eyes
fade
faint
fair
fairly
false
fancy
fantasy
fast
father
fault
favour
feigning
felt
figure
filch
fire
fit
flight
fly
folding
follow
followers
folly
food
form
forswear
forth
fortune
four
friend
frown
fruitless
game
gates
gentle
gentleman
give
given
glass
go
golden
good
grace
gracious
grant
grass
great
green
grow
hail
hair
happy
hate
have
hawthorn
he
head
hear
heart
heat
heaven
hell
here
herein
high
history
hold
hour
house
hymn
idolatry
impression
imprint
in
inconstant
intelligence
interchange
it
jaw
judgement
judgment
key
kind
know
lady
lark
law
lay
league
leave
let
lie
life
lightning
like
linger
liquid
live
livery
look
lord
lordship
lose
love
love-token
lover
low
luck
maiden
make
man
marry
master
may
me
mean
means
meet
melancholy
melody
melt
men
messenger
mew
midnight
mind
mine
modesty
moon
moonlight
more
morn
morrow
motion
move
much
must
nearly
never
new
news
next
night
nimble
no
noble
nosegay
not
now
number
nun
nuptial
o
oath
obedience
observance
oft
often
old
on
once
one
only
or
other
out
pain
paint
palace
pale
paradise
pardon
patent
patience
pearl
perjure
pert
place
plead
pomp
poor
posse
power
pray
prayer
prepare
presence
private
privilege
promise
prosecute
prosper
protest
provide
pursue
quantity
queen
question
quick
quickly
rain
rank
read
refuse
remote
render
renowned
respect
respects
rest
revel
revenue
rhyme
right
rings
rose
run
s
sail
same
say
schooling
see
seek
seven
shadow
shady
sharp
shepherd
short
shower
sickness
siege
sigh
sight
silver
simplicity
single
sister
skill
slow
smile
so
society
solemnity
some
son
soul
sound
sovereignty
speed
spirit
spite
spleen
spoke
spot
stand
starve
stay
steal
steep
still
stranger
strong
stubborn
such
sung
sway
swear
sweet
sweetmeat
sword
sympathy
tale
teach
tears
tell
tempest
thanks
then
thence
there
therefore
things
think
thither
thorn
thou
thought
till
time
title
tongue
too
town
translate
transpose
trial
trifle
triumph
true
truly
turn
under
undergo
unfold
unsay
unwished
up
us
vantage
verse
vexation
vile
virgin
visage
voice
vow
wa
waggish
wane
want
watery
wax
way
wed
well
wheat
why
widow
will
window
wing
withering
within
woman
won
wont
woo
wood
word
world
worst
worthy
yea
years
yet
yield
yoke
young
youth
